NMFS Tracking Number,Common Name,Population Name,Species Determination,Critical Habitat Determination,Question
WCR-2014-839,"Salmon, Chinook",Snake River spring/summer-run ESU,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2014-876,Steelhead,Northern California DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2014-960,"Turtle, green sea",,Withdrawn,May Affect - Likely to Adversely Affect,
WCR-2015-2518,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Withdrawn,May Affect - Likely to Adversely Affect,
WCR-2015-3248,"Salmon, Chinook",Lower Columbia River ESU,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-4022,Steelhead,California Central Valley DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-4027,"Sturgeon, green",,Withdrawn,May Affect - Likely to Adversely Affect,
WCR-2016-4122,"Salmon, Chinook",Snake River spring/summer-run ESU,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-4431,"Salmon, Chinook",Central Valley spring-run ESU,Withdrawn,May Affect - Likely to Adversely Affect,
WCR-2016-4536,Steelhead,California Central Valley DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-5168,"Salmon, Chinook",Puget Sound ESU,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-5227,"Salmon, Chinook",Puget Sound ESU,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-5574,Steelhead,California Central Valley DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
WCR-2016-5783,"Salmon, sockeye",Ozette Lake ESU,"Jeopardy, No Adverse Mod",No Effect,
