"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"1","FPR-2016-9154","Whale, killer","Southern Resident","Adverse Mod, No Jeopardy","Adverse Modification"
"2","NWR-1994-94","Salmon, Chinook","Snake River spring/summer-run ESU","Adverse Mod, No Jeopardy","Adverse Modification"
"3","FPR-2014-9084","Turtle, hawksbill sea","","Adverse Mod, No Jeopardy",""
"4","FPR-2014-9084","Turtle, green sea","Florida Breeding Populations","Adverse Mod, No Jeopardy",""
"5","FPR-2014-9084","Turtle, loggerhead sea","","Adverse Mod, No Jeopardy",""
"6","FPR-2014-9084","Turtle, leatherback sea","","Adverse Mod, No Jeopardy",""
"7","WCR-2014-445","Salmon, Chinook","","Adverse Mod, No Jeopardy",""
