"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"140","WCR-2014-1846","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"141","WCR-2014-1855","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"142","WCR-2014-432","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"143","WCR-2014-432","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"144","WCR-2014-467","Salmon, Chinook","Central Valley spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"145","WCR-2014-484","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"146","WCR-2014-484","Steelhead","Middle Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"147","WCR-2014-484","Steelhead","Lower Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"148","WCR-2014-484","Salmon, sockeye","Snake River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"149","WCR-2014-484","Salmon, coho","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"150","WCR-2014-484","Salmon, chum","Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"151","WCR-2014-484","Salmon, Chinook","Upper Columbia River spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"152","WCR-2014-484","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"153","WCR-2014-484","Salmon, Chinook","Snake River fall-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"154","WCR-2014-484","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"155","WCR-2014-484","Eulachon","Southern DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"156","WCR-2014-484","Steelhead","Upper Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"157","WCR-2014-605","Salmon, sockeye","Snake River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"158","WCR-2014-605","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"159","WCR-2014-637","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"160","WCR-2014-670","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"161","WCR-2014-670","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"162","WCR-2014-682","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"163","WCR-2014-682","Salmon, Chinook","Snake River fall-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"164","WCR-2014-857","Salmon, Chinook","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"165","WCR-2015-1912","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"166","WCR-2015-1938","Salmon, Chinook","Snake River fall-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"167","WCR-2015-1938","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"168","WCR-2015-1938","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"169","WCR-2015-1938","Salmon, Chinook","Upper Willamette River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"170","WCR-2015-1989","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"171","WCR-2015-2014","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"172","WCR-2015-2024","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"173","WCR-2015-2024","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"174","WCR-2015-2338","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"175","WCR-2015-2373","Salmon, Chinook","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"176","WCR-2015-2534","Sturgeon, green","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"177","WCR-2015-2561","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"178","WCR-2015-2591","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"179","WCR-2015-2607","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"180","WCR-2015-2607","Salmon, Chinook","Snake River fall-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"181","WCR-2015-2607","Whale, killer","Southern Resident","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
