"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"47","NER-2014-11126","Salmon, Atlantic","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"48","NER-2014-11150","Salmon, Atlantic","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"49","NER-2015-12532","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"50","NER-2015-12532","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"51","NER-2016-13205","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"52","NWR-2010-1497","Steelhead","Middle Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"53","NWR-2010-3366","Sea lion, Steller","Eastern US DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"54","NWR-2010-3366","Rockfish, canary","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"55","NWR-2011-1552","Sturgeon, green","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"56","NWR-2011-5960","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"57","NWR-2012-1093","Rockfish, canary","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"58","NWR-2012-1138","Bocaccio",NA,"No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"59","NWR-2012-2688","Rockfish, canary","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"60","NWR-2012-2688","Sea lion, Steller","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"61","NWR-2012-293","Steelhead","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"62","NWR-2012-3235","Salmon, chum","Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"63","NWR-2012-3235","Salmon, coho","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"64","NWR-2012-3989","Rockfish, yelloweye","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"65","NWR-2012-841","Salmon, Chinook","Upper Columbia River spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"66","NWR-2012-841","Steelhead","Upper Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"67","NWR-2012-9318","Salmon, Chinook","Upper Willamette River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"68","NWR-2012-9334","Whale, killer","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"69","NWR-2012-9453","Salmon, Chinook","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"70","NWR-2012-9484","Salmon, Chinook","Upper Willamette River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"71","NWR-2012-9484","Steelhead","Upper Willamette River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"72","NWR-2013-10223","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"73","NWR-2013-10370","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"74","NWR-2013-9619","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"75","NWR-2013-9792","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"76","NWR-2013-9991","Salmon, Chinook","Snake River spring/summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"77","NWR-2013-9991","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"78","NWR-2013-9998","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"79","PIR-2014-9543","Whale, sperm","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"80","PIR-2014-9543","Turtle, loggerhead sea","North Pacific Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"81","PIR-2014-9543","Turtle, green sea","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"82","PIR-2014-9543","Turtle, leatherback sea","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"83","PIR-2014-9543","Turtle, olive ridley sea","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"84","SER-2011-6520","Turtle, hawksbill sea","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"85","SER-2011-6520","Whale, North Atlantic right","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"86","SER-2012-569","Coral, elkhorn","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"87","SER-2014-14275","Coral, elkhorn","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"88","SER-2014-14671","Sawfish, smalltooth","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"89","SER-2014-15303","Sturgeon, Atlantic","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"90","SER-2014-15303","Sturgeon, shortnose","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"91","SER-2015-15985","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"92","SER-2015-15988","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"93","SER-2015-16551","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"94","SER-2015-16739","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
