NMFS.Tracking.Number,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.,Common.Name,Population.Name,count,,NMFS.Tracking.Number,count
SER-2003-1071,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, loggerhead sea",Range-wide,1,53,NWR-2008-3791,17
,,,"Turtle, Kemp's ridley sea",Range-wide,,54,NWR-2008-4070,17
,,,"Turtle, green sea",Range-wide,,55,NWR-2010-6062,17
SER-2004-47,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,56,NWR-2011-1099,17
SER-2004-80,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide,1,57,NWR-2011-2217,17
,,,"Turtle, hawksbill sea",Range-wide,,58,NWR-2011-5255,17
,,,"Turtle, Kemp's ridley sea",Range-wide,,59,NWR-2011-5463,17
,,,"Turtle, leatherback sea",Range-wide,,60,NWR-2012-1270,17
,,,"Turtle, loggerhead sea",Range-wide,,61,NWR-2012-566,17
SER-2005-536,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide,1,62,NWR-2000-1444,16
,,,"Turtle, hawksbill sea",Range-wide,,63,NWR-2001-1265,16
,,,"Turtle, Kemp's ridley sea",Range-wide,,64,NWR-2002-485,16
,,,"Turtle, leatherback sea",Range-wide,,65,NWR-2003-887,16
,,,"Turtle, loggerhead sea",Range-wide,,66,NWR-2004-1043,16
SER-2006-7001,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide,1,67,NWR-2004-209,16
,,,"Turtle, hawksbill sea",Range-wide,,68,NWR-2005-3572,16
,,,"Turtle, Kemp's ridley sea",Range-wide,,69,NWR-2005-5883,16
,,,"Turtle, leatherback sea",Range-wide,,70,NWR-2006-219,16
,,,"Turtle, loggerhead sea",Range-wide,,71,NWR-2006-7518,16
SER-2007-1962,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,72,NWR-2007-1664,16
SER-2008-9073,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide,1,73,NWR-2008-1071,16
,,,"Turtle, hawksbill sea",Range-wide,,74,NWR-2008-2406,16
,,,"Turtle, Kemp's ridley sea",Range-wide,,75,NWR-2008-345,16
,,,"Turtle, leatherback sea",Range-wide,,76,NWR-2008-602,16
,,,"Turtle, loggerhead sea",Range-wide,,77,NWR-2008-688,16
,,,"Sawfish, smalltooth",U.S. DPS,,78,NWR-2008-7529,16
SER-2012-4507,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,"Turtle, green sea",Range-wide,1,79,NWR-2008-8636,16
,,,"Turtle, hawksbill sea",Range-wide,,80,NWR-2009-1650,16
,,,"Turtle, leatherback sea",Range-wide,,81,NWR-2009-1756,16
,,,"Turtle, loggerhead sea",Northeast Atlantic Ocean DPS,,82,NWR-2009-1991,16
,,,"Turtle, Kemp's ridley sea",Range-wide,,83,NWR-2009-1992,16
,,,"Sturgeon, Atlantic",Carolina DPS,,84,NWR-2009-5217,16
,,,"Sturgeon, Atlantic",Chesapeake Bay DPS,,85,NWR-2009-5721,16
,,,"Sturgeon, Atlantic",Gulf of Maine DPS,,86,NWR-2009-6481,16
,,,"Sturgeon, Atlantic",New York Bight DPS,,87,NWR-2009-6712,16
,,,"Sturgeon, Atlantic",South Atlantic DPS,,88,NWR-2009-6812,16
,,,"Sturgeon, Gulf",Range-wide,,89,NWR-2010-3445,16
,,,"Sawfish, smalltooth",U.S. DPS,,90,NWR-2010-5119,16
SWR-1999-2239,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,91,NWR-2010-6137,16
SWR-1999-2240,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,92,NWR-2011-1292,16
SWR-2000-1889,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,93,NWR-2011-1925,16
SWR-2000-1928,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,94,NWR-2011-2266,16
SWR-2000-1975,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,2,95,NWR-2011-2520,16
SWR-2000-2274,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,96,NWR-2011-312,16
SWR-2001-2916,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,97,NWR-2011-313,16
SWR-2002-1507,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,98,NWR-2012-2012,16
SWR-2002-2691,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,2,99,SER-2014-15693,16
SWR-2003-2390,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,100,FPR-2014-9095,15
SWR-2005-4402,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,101,NWR-2000-1222,15
SWR-2005-5720,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,102,NWR-2000-1378,15
SWR-2005-7420,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,2,103,NWR-2000-1380,15
SWR-2005-7471,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,104,NWR-2000-1407,15
SWR-2006-1040,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,105,NWR-2000-185,15
SWR-2006-2592,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,106,NWR-2001-178,15
SWR-2006-3548,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,107,NWR-2001-22,15
SWR-2006-4099,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Biop,,1,108,NWR-2001-947,15
SWR-2006-4188,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,1,109,NWR-2002-1070,15
SWR-2006-4190,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,1,110,NWR-2002-213,15
SWR-2006-4786,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,2,111,NWR-2002-251,15
