,NMFS.Tracking.Number,count
233,SWR-2002-2737,2
234,SWR-2003-1839,2
235,SWR-2003-1841,2
236,SWR-2003-1846,2
237,SWR-2003-1847,2
238,SWR-2003-1848,2
239,SWR-2003-1857,2
240,SWR-2003-1861,2
241,SWR-2003-1867,2
242,SWR-2003-1868,2
243,SWR-2003-1882,2
244,SWR-2003-1884,2
245,SWR-2003-1887,2
246,SWR-2003-1889,2
247,SWR-2003-1892,2
248,SWR-2003-1913,2
249,SWR-2003-1916,2
250,SWR-2003-1917,2
251,SWR-2003-1937,2
252,SWR-2003-1940,2
253,SWR-2003-1943,2
254,SWR-2003-1951,2
255,SWR-2003-1957,2
256,SWR-2003-1963,2
257,SWR-2003-1969,2
258,SWR-2003-1977,2
259,SWR-2003-1979,2
260,SWR-2003-1980,2
261,SWR-2003-1984,2
262,SWR-2003-2328,2
263,SWR-2003-2421,2
264,SWR-2003-2443,2
265,SWR-2003-2452,2
266,SWR-2003-2456,2
267,SWR-2003-2475,2
268,SWR-2004-2294,2
269,SWR-2004-2295,2
270,SWR-2004-2296,2
271,SWR-2004-2503,2
272,SWR-2004-2562,2
273,SWR-2004-2607,2
274,SWR-2004-2667,2
275,SWR-2004-2668,2
276,SWR-2004-2669,2
277,SWR-2004-2670,2
278,SWR-2004-626,2
279,SWR-2004-633,2
280,SWR-2005-2041,2
281,SWR-2005-2067,2
282,SWR-2005-2095,2
283,SWR-2005-2131,2
284,SWR-2005-3037,2
285,SWR-2005-3899,2
286,SWR-2005-3993,2
287,SWR-2005-3994,2
288,SWR-2005-644,2
289,SWR-2005-6597,2
290,SWR-2005-6989,2
291,SWR-2005-6990,2
292,SWR-2005-6991,2
293,SWR-2005-7403,2
294,SWR-2005-7420,2
295,SWR-2005-7537,2
296,SWR-2005-7572,2
297,SWR-2005-7575,2
298,SWR-2005-845,2
299,SWR-2006-2211,2
300,SWR-2006-2220,2
301,SWR-2006-2881,2
302,SWR-2006-3110,2
303,SWR-2006-3191,2
304,SWR-2006-3537,2
305,SWR-2006-3538,2
306,SWR-2006-3539,2
307,SWR-2006-3580,2
308,SWR-2006-363,2
309,SWR-2006-3820,2
310,SWR-2006-3826,2
311,SWR-2006-3828,2
312,SWR-2006-3868,2
313,SWR-2006-3951,2
314,SWR-2006-3996,2
315,SWR-2006-4061,2
316,SWR-2006-4073,2
317,SWR-2006-4078,2
318,SWR-2006-4108,2
319,SWR-2006-4144,2
320,SWR-2006-4156,2
321,SWR-2006-4158,2
322,SWR-2006-4189,2
323,SWR-2006-4344,2
324,SWR-2006-4345,2
325,SWR-2006-4347,2
326,SWR-2006-4367,2
327,SWR-2006-4388,2
328,SWR-2006-4512,2
329,SWR-2006-4513,2
330,SWR-2006-4514,2
331,SWR-2006-4515,2
332,SWR-2006-4519,2
333,SWR-2006-4614,2
334,SWR-2006-4786,2
335,SWR-2006-4800,2
336,SWR-2006-4802,2
337,SWR-2006-4803,2
338,SWR-2006-4804,2
339,SWR-2006-4862,2
340,SWR-2006-4969,2
341,SWR-2006-4970,2
342,SWR-2006-4977,2
343,SWR-2006-4978,2
344,SWR-2006-4992,2
345,SWR-2006-5015,2
346,SWR-2006-5019,2
347,SWR-2006-5020,2
348,SWR-2006-5035,2
349,SWR-2006-5038,2
350,SWR-2006-5041,2
351,SWR-2006-5125,2
352,SWR-2006-5132,2
353,SWR-2006-5134,2
354,SWR-2006-5135,2
355,SWR-2006-5265,2
356,SWR-2006-5266,2
357,SWR-2006-5269,2
358,SWR-2006-5273,2
359,SWR-2006-5439,2
360,SWR-2006-5501,2
361,SWR-2006-5552,2
362,SWR-2006-5553,2
363,SWR-2006-5555,2
364,SWR-2006-5564,2
365,SWR-2006-5595,2
366,SWR-2006-5628,2
367,SWR-2006-5630,2
368,SWR-2006-5633,2
369,SWR-2006-5777,2
370,SWR-2006-5946,2
371,SWR-2006-6091,2
372,SWR-2006-6092,2
373,SWR-2006-6118,2
374,SWR-2006-6152,2
375,SWR-2006-6466,2
376,SWR-2006-6486,2
377,SWR-2006-6487,2
378,SWR-2006-6638,2
379,SWR-2006-6640,2
380,SWR-2006-6643,2
381,SWR-2006-6644,2
382,SWR-2006-6763,2
383,SWR-2006-6822,2
384,SWR-2006-6823,2
385,SWR-2006-6908,2
386,SWR-2006-7003,2
387,SWR-2006-7020,2
388,SWR-2006-7152,2
389,SWR-2006-7266,2
390,SWR-2006-7307,2
391,SWR-2006-7495,2
392,SWR-2006-7592,2
393,SWR-2006-7593,2
394,SWR-2006-7594,2
395,SWR-2006-7606,2
396,SWR-2006-7607,2
397,SWR-2006-7618,2
398,SWR-2006-7621,2
399,SWR-2006-802,2
400,SWR-2007-1010,2
401,SWR-2007-1083,2
402,SWR-2007-1231,2
403,SWR-2007-1354,2
404,SWR-2007-1441,2
405,SWR-2007-1616,2
406,SWR-2007-1732,2
407,SWR-2007-1733,2
408,SWR-2007-1735,2
409,SWR-2007-1805,2
410,SWR-2007-1867,2
411,SWR-2007-1904,2
412,SWR-2007-2103,2
413,SWR-2007-2159,2
414,SWR-2007-2309,2
415,SWR-2007-2310,2
416,SWR-2007-2366,2
417,SWR-2007-2449,2
418,SWR-2007-2457,2
419,SWR-2007-2598,2
420,SWR-2007-2704,2
421,SWR-2007-2841,2
422,SWR-2007-304,2
423,SWR-2007-3378,2
424,SWR-2007-3586,2
425,SWR-2007-368,2
426,SWR-2007-4153,2
427,SWR-2007-4154,2
428,SWR-2007-4155,2
429,SWR-2007-4441,2
430,SWR-2007-4509,2
431,SWR-2007-4625,2
432,SWR-2007-4723,2
433,SWR-2007-4724,2
434,SWR-2007-4737,2
435,SWR-2007-4955,2
436,SWR-2007-4990,2
437,SWR-2007-4992,2
438,SWR-2007-4994,2
439,SWR-2007-4995,2
440,SWR-2007-50,2
441,SWR-2007-5037,2
442,SWR-2007-5043,2
443,SWR-2007-5277,2
444,SWR-2007-5384,2
445,SWR-2007-5512,2
446,SWR-2007-5823,2
447,SWR-2007-5858,2
448,SWR-2007-5859,2
449,SWR-2007-5887,2
450,SWR-2007-5983,2
451,SWR-2007-6,2
452,SWR-2007-6153,2
453,SWR-2007-6165,2
454,SWR-2007-6171,2
455,SWR-2007-6454,2
456,SWR-2007-646,2
457,SWR-2007-6614,2
458,SWR-2007-6615,2
459,SWR-2007-6639,2
460,SWR-2007-6698,2
461,SWR-2007-6705,2
462,SWR-2007-6800,2
463,SWR-2007-6828,2
464,SWR-2007-6857,2
465,SWR-2007-700,2
466,SWR-2007-7110,2
467,SWR-2007-7111,2
468,SWR-2007-7158,2
469,SWR-2007-7298,2
470,SWR-2007-7369,2
471,SWR-2007-7371,2
472,SWR-2007-7372,2
473,SWR-2007-7481,2
474,SWR-2007-7503,2
475,SWR-2007-7544,2
476,SWR-2007-7728,2
477,SWR-2007-7729,2
