TrackingNumber,Common.Name,Population.Name,Jeopardy,CriticalHabitat,CH,Spp,CH_cons,Spp_cons
SER-2010-1441,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-1441,"Sturgeon, Gulf",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2010-2378,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Seagrass, Johnson's",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
SER-2010-3921,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2010-3921,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
SER-2011-1079,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1079,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1079,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1079,"Sturgeon, Gulf",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Effect,No Adverse Modification,No Effect
SER-2011-1079,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
SER-2011-1079,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1079,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1933,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-1933,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
SER-2011-1933,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
SER-2011-1933,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
SER-2011-1933,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
SER-2011-1933,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Jeopardy,No CH,No Jeopardy
SER-2011-260,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-260,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
SER-2011-260,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-260,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-260,"Seagrass, Johnson's",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
SER-2011-260,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-260,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-3241,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-3241,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-3241,"Seagrass, Johnson's",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
SER-2011-3241,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-3241,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2011-3241,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
SER-2012-736,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2012-736,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2012-736,"Sawfish, smalltooth",U.S. DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-736,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2012-736,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2012-736,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
SER-2012-948,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Effect,No Effect,No Effect
SER-2012-948,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Effect,No CH,No Effect
SER-2012-948,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Effect,No CH,No Effect
SER-2012-948,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Effect,No CH,No Effect
SER-2012-948,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,No Jeopardy,No Effect,No Jeopardy
SER-2012-948,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No CH,No Effect,No CH,No Effect
SWR-2013-9541,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2013-9541,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2013-9541,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2013-9728,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2013-9728,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2013-9728,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-1377,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-1377,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-1377,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-1377,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-1997,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2015-1997,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2015-1997,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2015-1997,Steelhead,Central California Coast DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2015-2725,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-2725,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-2725,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-2725,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3218,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3218,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3218,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3218,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2013-12718,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,Adverse Modification,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2014-663,Steelhead,,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-680,Steelhead,Snake River Basin DPS,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-680,"Salmon, Chinook",Snake River fall-run ESU,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-4082,Steelhead,California Central Valley DPS,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-4082,"Sturgeon, green",,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5673,"Salmon, Chinook",Central Valley spring-run ESU,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5673,"Sturgeon, green",,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5673,Steelhead,California Central Valley DPS,"Adverse Mod, No Jeopardy",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5673,"Salmon, Chinook",Sacramento River winter-run ESU,"Adverse Mod, No Jeopardy",May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2017-6480,"Salmon, Chinook Lower",Columbia River ESU,"Adverse Mod, No Jeopardy",No Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2017-6480,"Sturgeon, green",,"Adverse Mod, No Jeopardy",No Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2015-16542,"Coral, Mountainous Star",Range-wide,"Adverse Mod, No Jeopardy",No Effect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
WCR-2013-76,"Whale, killer",Southern Resident,Jeopardy & Adverse Modification,No Effect,No Adverse Modification,Jeopardy,No Adverse Modification,Jeopardy
WCR-2015-2794,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,No Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
NWR-2013-10562,"Salmon, Chinook",Puget Sound ESU,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2010-3497,"Sturgeon, Gulf",Range-wide,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,Jeopardy,No Adverse Modification,Jeopardy
SER-2010-3497,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,Jeopardy,No Adverse Modification,Jeopardy
SER-2010-3497,"Turtle, green sea",Range-wide,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,Jeopardy,No Adverse Modification,Jeopardy
SER-2010-3497,"Turtle, loggerhead sea",,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,Jeopardy,No Adverse Modification,Jeopardy
WCR-2014-467,"Salmon, Chinook",Sacramento River winter-run ESU,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-467,Steelhead,California Central Valley DPS,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-682,"Salmon, sockeye", Snake River ESU,"Jeopardy, No Adverse Mod",May Affect - Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3915,Steelhead,Lower Columbia River DPS,"Jeopardy, No Adverse Mod",No Effect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2015-3915,"Salmon, coho",,"Jeopardy, No Adverse Mod",No Effect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2014-682,Steelhead,Snake River Basin DPS,"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
NWR-1999-1903,Steelhead,Snake River Basin DPS,"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Jeopardy,No Adverse Modification,Jeopardy
NWR-1999-1903,Steelhead,Lower Columbia River DPS,"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,No Effect,Jeopardy,No Effect,Jeopardy
SWR-2012-3549,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2012-3549,"Salmon, Chinook",California Coastal ESU,"No Jeopardy, No Adverse Mod",Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SWR-2012-3549,Steelhead,Northern California DPS,"No Jeopardy, No Adverse Mod",Adverse Modification,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
AKR-2015-9442,"Whale, beluga",Cook Inlet,"No Jeopardy, No Adverse Mod",May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5014,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5014,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5014,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
WCR-2016-5014,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-13020,"Seagrass, Johnson's",,Not Likely to Adversely Affect,May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-13067,"Seagrass, Johnson's",,Not Likely to Adversely Affect,May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-13108,"Seagrass, Johnson's",,Not Likely to Adversely Affect,May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-13109,"Seagrass, Johnson's",,Not Likely to Adversely Affect,May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-13455,"Seagrass, Johnson's",,Not Likely to Adversely Affect,May Affect,No Adverse Modification,No Jeopardy,No Adverse Modification,No Jeopardy
SER-2014-15068,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2014-440,"Salmon, Chinook",California Coastal ESU,Not Likely to Adversely Affect,May Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2014-440,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Not Likely to Adversely Affect,May Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
WCR-2014-440,Steelhead,Northern California DPS,Not Likely to Adversely Affect,May Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
AKR-2015-9415,"Whale, humpback",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2003-1143,"Whale, fin",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2003-1143,"Whale, North Atlantic right",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2003-1143,"Whale, humpback",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2003-961,"Turtle, loggerhead sea",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2003-961,"Turtle, green sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2003-961,"Turtle, leatherback sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2003-961,"Turtle, Kemp's ridley sea",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2007-3720,"Turtle, leatherback sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2007-3720,"Turtle, Kemp's ridley sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NER-2007-3720,"Whale, North Atlantic right",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Effect,Not Likely to Adversely Affect,No Effect,No Jeopardy
NER-2016-13077,"Sturgeon, Atlantic",Chesapeake Bay DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No CH,Not Likely to Adversely Affect,No CH,No Jeopardy
NWR-2013-10124,Bocaccio,NA,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-2282,"Sturgeon, Gulf",NA,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-3177,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-3181,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-3777,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2012-9303,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-10503,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-10836,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11069,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11209,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11452,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11502,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11547,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11655,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11848,"Coral, elkhorn",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11937,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11961,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11983,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11984,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11989,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-11990,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-12140,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
SER-2013-12184,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,No Adverse Modification,Not Likely to Adversely Affect,No Adverse Modification,No Jeopardy
